,clean_title,title,homepage,id
0,10 things i hate about you,10 Things I Hate About You,Not available,4951
1,12 angry men,12 Angry Men,Not available,389
2,2001 a space odyssey,2001: A Space Odyssey,Not available,62
3,28 days later,28 Days Later,Not available,170
4,300,300,http://300themovie.warnerbros.com,1271
5,a beautiful mind,A Beautiful Mind,http://www.abeautifulmind.com/,453
6,a bugs life,A Bug's Life,http://movies.disney.com/a-bugs-life,9487
7,a christmas story,A Christmas Story,Not available,850
8,a clockwork orange,A Clockwork Orange,Not available,185
9,a close shave,A Close Shave,http://www.wallaceandgromit.com/films/a-close-shave,532
10,a few good men,A Few Good Men,http://www.sonypictures.com/movies/afewgoodmen/,881
11,a fish called wanda,A Fish Called Wanda,Not available,623
12,a league of their own,A League of Their Own,Not available,11287
13,ai artificial intelligence,A.I. Artificial Intelligence,Not available,644
14,about a boy,About a Boy,http://movies.uip.de/aboutaboy/,245
15,ace ventura pet detective,Ace Ventura: Pet Detective,Not available,3049
16,ace ventura when nature calls,Ace Ventura: When Nature Calls,Not available,9273
17,addams family values,Addams Family Values,Not available,2758
18,air force one,Air Force One,Not available,9772
19,airplane,Airplane!,Not available,813
20,aladdin,Aladdin,http://movies.disney.com/aladdin,812
21,alien,Alien,https://www.facebook.com/alienanthology/,348
22,aliens,Aliens,Not available,679
23,alien,Alien³,Not available,8077
24,almost famous,Almost Famous,Not available,786
25,amadeus,Amadeus,Not available,279
26,american beauty,American Beauty,http://www.dreamworks.com/ab/,14
27,american history x,American History X,http://www.historyx.com/,73
28,american pie,American Pie,Not available,2105
29,american psycho,American Psycho,Not available,1359
30,amlie,Amélie,http://www.die-fabelhafte-welt-der-amelie.de,194
31,analyze this,Analyze This,Not available,9535
32,animal house,Animal House,http://www.animalhouse.com/,8469
33,annie hall,Annie Hall,Not available,703
34,antz,Antz,Not available,8916
35,apocalypse now,Apocalypse Now,http://www.apocalypsenow.com,28
36,apollo 13,Apollo 13,Not available,568
37,arachnophobia,Arachnophobia,Not available,6488
38,armageddon,Armageddon,Not available,95
39,army of darkness,Army of Darkness,Not available,766
40,as good as it gets,As Good as It Gets,Not available,2898
41,austin powers international man of mystery,Austin Powers: International Man of Mystery,Not available,816
42,austin powers the spy who shagged me,Austin Powers: The Spy Who Shagged Me,Not available,817
43,avatar,Avatar,http://www.avatarmovie.com/,19995
44,babe,Babe,Not available,9598
45,back to the future,Back to the Future,http://www.backtothefuture.com/movies/backtothefuture1,105
46,back to the future part ii,Back to the Future Part II,http://www.backtothefuture.com/movies/backtothefuture2,165
47,back to the future part iii,Back to the Future Part III,http://www.backtothefuture.com/movies/backtothefuture3,196
48,basic instinct,Basic Instinct,https://www.sonymoviechannel.com/movies/basic-instinct,402
49,batman,Batman,Not available,268
50,batman begins,Batman Begins,http://www2.warnerbros.com/batmanbegins/index.html,272
51,batman forever,Batman Forever,Not available,414
52,batman returns,Batman Returns,Not available,364
